"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",1.09907320892915,1.22406732878943,1.32010712338314,1.51466572400503,1.16751092167135,1.66248957224482,4.54095829908674,1.53314442880053,1.37732896546155,1.91305658215783,1.96120383639063,1.38375131783839
"4",0.963239463889671,0.825657461004686,1.41306991686499,0.809388894188081,1.10921459567517,2.03000288725051,3.75796218288277,2.42397250381123,2.69018715527968,1.38141999242024,1.23285721401443,1.03285308514536
"5",1.25042509234891,0.881818984529083,1.39273887593024,1.01588115465553,1.66626972517085,1.60411038963527,1.69238126417327,1.64656822456785,1.40776519145925,1.36948120238726,1.28281726335587,1.15106883448293
"6",1.10137663928255,0.856027320778251,1.02847148338423,0.797750229304086,1.01456823273201,1.45523885921597,1.79395395535178,1.49696449637304,1.62932386543568,1.3640191690581,1.25541960566005,1.17141017056119
"11",1.2455820614812,0.931368052964678,1.36892745675938,1.36062779999607,1.56443998370934,1.37602281866092,1.75796301150262,1.38276503104317,1.79693462839691,1.9397947541036,1.31193173498099,1.24646462889158
"12",1.11566598010913,1.654585939095,1.18207222155382,1.9482923398826,1.21175578027369,1.30980344191866,1.50794817845449,1.38592145859382,1.19669432669833,1.24464675281259,1.42768750757428,1.37357170319191
"13",1.03372281979044,0.879121557747325,0.993237483452387,0.741954002363407,1.02854497640516,1.28421156941762,1.6052444842242,1.50271587429525,1.81884843480873,1.4993690755424,1.24960584501558,1.08887501382173
"15",1.04535551394859,0.897248904863264,0.962972624584452,0.847247617432447,1.17951277860911,1.27319744334368,1.33471785122688,1.32575662253434,1.29293731788517,1.11024032867556,1.09567795583014,1.11588059764978
"16",0.959999299045976,1.04424276296878,1.44235489337358,1.1454779545761,2.1057289711945,1.75236055462584,1.6416030031555,2.20534444464169,2.03283705970585,2.10839772234894,1.23643534845081,0.971889910274926
"18",1.11615947866777,0.969853387894538,0.927248017674536,0.803973735414757,1.22714195839212,1.29523754430033,1.43337459743692,1.30543776445987,2.02480012654869,1.39024905415985,1.09519308323423,1.13948803826281
"19",1.58929595629967,1.1107288979656,1.0644077804292,0.944860592075359,1.22838564856357,1.5212973322524,1.4899013705688,1.35810575232017,1.32352769053449,1.57832567419775,1.34469190716559,1.42846274916867
"20",1.066973389367,0.961732294396232,0.955142357839215,0.869819516649359,1.22110283509881,1.54874531327572,1.55643150202842,1.35740996642098,1.6605046829054,1.27959042042222,1.07493649974274,1.07903947758738
"21",1.20614381178368,1.06588594724356,0.96485240333272,0.938553205500682,1.36377197532606,1.38183399204176,1.34874037940151,1.30514620393835,1.58228058165093,1.12893568426403,1.02334209153094,1.17662131818214
"22",1.11733308214551,1.01970421777806,0.947494227102396,0.845516882115027,1.25868813428892,1.34783573672614,1.47027868568008,1.28376100981071,1.96300789316616,1.42666439771435,1.06566559136335,1.12964055710224
"23",1.22482073827187,1.07183605127612,0.998898613854648,0.777634945170473,1.11933353988579,1.61039381406287,2.13835518457766,1.14892704680521,2.78779725473684,2.1557409828,1.09970099730199,1.28223376267839
"24",1.23814924597587,1.08840902066473,1.00303154489299,1.02811523092761,1.45572746359937,1.38308675732347,1.30881789186467,1.31816511561882,1.51477845355195,1.2038676406529,1.08749445866591,1.20002435752398
"25",1.09517744483203,0.994729336019289,0.970519619223742,0.842940907398276,1.10147507967648,1.27758197286952,1.30642790620901,1.20880688971575,2.12699957985941,1.40339247480765,1.07594644365356,1.11722169481696
"26",1.47417205538389,1.18057580245499,1.01294992510015,1.13376974265785,1.20803569157822,1.79911407202108,1.34365759629843,1.68819867594049,2.84596330696099,1.33355604089431,1.158687768521,1.63364602099139
"28",1.71372219998335,0.855647046992149,0.833289075295481,0.749641468282823,1.89893341762998,1.18737226333714,1.28476215385247,1.25330088545163,1.25352676580983,1.46985224113312,1.12424720405833,1.12537858903194
"29",1.12053834057291,0.746930487914184,0.776781645367662,0.660202176095073,0.863049740318894,0.916927541770855,0.950503013583567,0.948772577515255,1.09393486510249,1.0988413360562,0.964758619708085,0.965733501583625
"30",1.35253399966451,0.79812831466085,0.896412298689855,0.761973782682042,0.821123994664688,1.00347422422402,1.05624079586621,1.04042837349187,1.1436870355591,1.2332271051072,1.09727950974458,1.1836360884292
"32",1.20711692364821,0.835964513315633,1.01830240023279,0.776683424829385,0.840635080402131,0.970364620503851,0.992594037792502,0.972887062154123,1.08072795021634,1.00442310877895,0.973627122259344,0.972245591136453
