"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.98,2.1684,2.09,2.0496,1.1488,1.2636,11.2058,1.22,1.1114,3.5129,3.3656,1.38
"4",0.87,0.828,1.34,0.8715,1.1407,2.01,6.6297,2.6337,5.479,1.42,1.2582,0.9403
"5",2.1407,0.79,1.687,0.9394,1.22,2.3901,1.5344,1.38,1.54,1.42,1.2918,1.3
"6",1.0125,0.875,1.0488,0.9014,1.1568,1.3556,1.683,1.4681,1.3462,1.3802,1.2725,1.14
"11",1.9301,0.9686,2.2137,1.06,1.34,1.3004,2.1828,1.38,1.54,2.9011,1.2848,1.3084
"12",1.06,0.9567,1.0249,2.0001,1.228,1.2494,1.4992,1.6496,1.1115,1.2165,2.0832,1.6036
"13",0.9428,0.9315,0.9908,0.829,1.1336,1.2498,1.5623,1.5959,1.4704,1.57,1.2642,1.0508
"15",1.0309,0.87,1.0008,0.8568,1.3484,1.2504,1.5128,1.3,1.2837,1.1411,1.2037,1.1
"16",0.907,0.924,1.1,0.9112,2.3329,3.0104,1.69,1.2688,2.09,1.2678,1.3,0.9396
"18",0.9804,0.9398,0.9511,0.9187,1.3432,1.1698,1.4996,1.043,2.05,1.1821,1.0212,1.0552
"19",2.1208,1.1417,1.06,0.9772,1.3568,1.9692,1.7293,1.42,1.26,2.4261,1.38,1.46
"20",0.98,0.9804,0.9892,0.9313,1.448,1.4864,1.5256,1.2435,1.8227,1.1851,1.0737,1.0252
"21",1.3728,1.1328,1.0056,1.2504,1.46,1.4024,1.4924,1.3106,1.7437,1.1094,1.0476,1.0948
"22",1.1509,1.092,1.0208,1.0417,1.426,1.26,1.5,1.1224,1.9556,1.2164,1.0272,1.1
"23",1.14,1.46,1.0208,0.7655,1.15,1.42,1.85,0.98,2.05,3.2197,1.1435,1.42
"24",1.8766,1.3997,1.0581,1.0323,1.58,1.5575,1.447,1.4752,1.4699,1.1727,1.1575,1.2576
"25",1.14,1.4577,1.0264,0.9421,1.2976,1.4308,1.5289,1.275,2.05,1.2898,1.0516,1.1236
"26",1.9696,1.93,1.0566,1.69,1.38,1.5,1.34,2.7356,3.898,1.4204,1.2624,1.5697
"28",3.4444,1.1,0.8688,0.7128,1.26,1.46,1.5,1.3,1.2548,2.0682,1.1275,1.18
"29",1.0081,0.9822,0.87,0.8064,1.0929,1.2146,1.478,1.2868,1.1766,1.2286,1.0292,1.0709
"30",1.1904,0.93,0.9319,0.8788,0.9434,1.1552,1.3698,1.1534,1.1535,1.14,1.1289,1.22
"32",0.9434,1.02,0.9284,0.8896,0.9239,1.0372,1.2394,1.0922,1.0848,1.1281,1.0116,1.0096
"33",1.42,0.95,1.1,0.9408,1.0965,1.195,2.2981,1.18,2.0036,1.2428,2.078,2.0609
"34",1.3172,0.9507,1.1336,1.0236,1.2497,1.2908,1.9152,1.264,1.3103,1.246,1.2562,1.46
"35",0.91,0.9348,0.98,0.9406,1.4568,1.2234,1.4911,4.3126,1.61,1.276,1.1333,1.0976
"36",1.18,0.9174,1.14,0.79,0.943,1.2132,1.54,1.2196,1.5,1.2308,1.26,1.1512
"38",0.9753,1.1381,0.94,0.98,1.1268,2.3835,1.605,1.3164,1.46,1.4048,0.957,1.0244
"39",0.9932,1.19,0.9396,0.98,1.0918,2.9544,1.61,1.3,1.4388,1.6869,0.9148,1.0654
"40",1.1457,1.102,1.0116,0.9434,1.4036,1.5505,1.5528,1.3172,1.3348,1.1777,1.069,1.0856
"7",1.1004,1.2964,1.0534,0.862,1.1916,1.2123,1.4782,1.3802,1.42,1.382,1.89,1.14
"8",1.0125,0.875,1.0488,0.9014,1.1568,1.3556,1.683,1.4681,1.3462,1.3802,1.2725,1.14
"9",0.9552,0.9309,1.076,0.9134,1.4416,1.4994,1.6892,1.5452,2.0104,1.57,1.3054,1.0344
"10",1.1,1.2976,1.0128,0.8324,1.0786,1.1954,1.4848,1.3822,1.42,1.38,1.89,1.14
"37",1.0233,1.1158,0.9404,0.977,1.2535,2.2593,1.61,1.338,1.4428,1.5402,1.0132,1.0812
