"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.911,2.17,2.09,2.05,1.14,1.26,11.81,1.1432,1.0568,3.82,3.46,1.38
"4",0.8296,0.705,1.34,0.6736,1.14,2.01,6.73,2.64,6.73,1.42,1.18,0.8908
"5",2.4,0.79,1.69,0.91,1.22,2.91,1.31,1.38,1.54,1.42,1.26,1.3
"6",0.8818,0.8078,0.967,0.811,0.9964,1.2297,1.6211,1.437,1.0166,1.38,1.0682,1.14
"11",2.01,0.808,2.36,1.06,1.34,1.3,2.24,1.38,1.54,3.58,1.1112,1.3
"12",1.06,0.8383,1.02,2.01,1.22,1.1404,1.3806,1.65,1.02,1.0624,2.09,1.65
"13",0.94,0.8312,0.9399,0.6934,0.9798,1.1065,1.4682,1.5664,1.0525,1.57,1.0033,0.91
"15",0.8846,0.832,0.9413,0.7442,1.0254,1.1543,1.4758,1.1089,1.0488,1.0204,1.0493,1.1
"16",0.87,0.7229,1.1,0.91,2.64,3.07,1.69,1.26,2.09,1.26,1.3,0.87
"18",0.9345,0.91,0.8244,0.6952,1.0822,0.9106,1.1451,0.8733,2.05,0.9782,1.02,0.91
"19",2.13,1.14,1.06,0.9206,1.3158,1.97,1.73,1.42,1.26,2.6,1.38,1.46
"20",0.98,0.9581,0.9186,0.7128,1.248,1.3612,1.5,1.0717,1.2154,1.0458,1.0252,0.8258
"21",1.068,0.8663,0.8231,0.7364,1.46,1.1212,1.223,0.9112,1.0592,0.9213,0.87,1.06
"22",1.0424,0.9688,0.9467,0.7426,1.2176,1.153,1.3668,0.9024,1.85,1.026,0.919,0.9519
"23",1.14,1.46,1.02,0.7328,1.1497,1.42,1.85,0.9076,2.05,3.23,1.0236,1.42
"24",1.8586,1.3806,1.0248,0.94,1.58,1.5245,1.3294,1.4436,1.0888,1.061,0.9818,1.0664
"25",1.14,1.476,1.0064,0.8952,1.2638,1.4268,1.4354,1.1223,2.05,1.0616,0.9039,1.0111
"26",1.97,1.93,0.94,1.69,1.38,1.5,1.26,2.8,3.98,1.42,0.9424,1.57
"28",3.98,1.1,0.79,0.71,1.26,1.46,1.5,1.3,1.2204,2.09,1.1,1.18
"29",0.7912,0.9064,0.7899,0.71,0.9154,1.0661,1.4132,1.2156,0.9474,0.9408,0.91,0.7669
"30",0.9283,0.8085,0.807,0.7328,0.7089,0.9861,1.195,1.0759,0.9508,1.14,0.8834,1.22
"32",0.8137,1.02,0.7133,0.7255,0.71,0.778,0.9442,0.7641,0.94,0.8787,0.94,0.7448
"33",1.42,0.94,1.1,0.94,0.9409,1.14,2.36,1.1,2.01,1.1416,2.09,3.19
"34",1.296,0.8901,1.1424,1.0248,1.2312,1.29,2.0766,1.2412,1.26,1.22,1.0705,1.46
"35",0.8428,0.8611,0.98,0.94,1.46,1.1004,1.34,4.72,1.61,1.26,0.951,1.0612
"36",1.18,0.7615,1.14,0.7216,0.8828,1.19,1.54,0.9531,1.5,1.22,1.26,1.0628
"38",0.9394,1.1826,0.9041,0.9773,1.0828,2.6639,1.6093,1.3008,1.46,1.1357,0.9096,0.877
"39",0.94,1.19,0.87,0.98,1.08,3.15,1.61,1.3,1.3512,1.69,0.91,1.02
"40",0.9928,1.0988,0.9358,0.9084,1.2391,1.4397,1.5318,1.2756,1.1144,1.1,0.8966,0.8959
"7",1.1,1.3,0.9422,0.7557,0.9687,1.0153,1.3586,1.38,1.42,1.38,1.89,1.14
"8",0.8818,0.8078,0.967,0.811,0.9964,1.2297,1.6211,1.437,1.0166,1.38,1.0682,1.14
"9",0.9412,0.8081,1.0276,0.9056,1.4592,1.4769,1.6832,1.5325,2.0124,1.57,1.2656,0.9103
"10",1.1,1.3,0.9044,0.7174,0.8862,1.0094,1.3884,1.38,1.42,1.38,1.89,1.14
"37",0.946,1.1856,0.916,0.9784,1.1209,2.7203,1.61,1.312,1.3424,1.6785,0.91,1.0288
