"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",1.0597,1.9076,1.9598,1.9051,1.2284,1.2952,10.368,1.252,1.2604,1.9283,2.0903,1.38
"4",0.9367,0.9278,1.3232,0.9394,1.176,1.959,6.1483,2.2936,2.0715,1.4208,1.3446,1.074
"5",1.3354,0.8488,1.6069,1.0221,1.2212,1.4953,1.54,1.38,1.54,1.42,1.3778,1.3
"6",1.1304,0.9788,1.1296,0.9512,1.2296,1.3734,1.6938,1.4785,1.4356,1.4593,1.373,1.1456
"11",1.4035,0.98,1.3839,1.0692,1.34,1.3012,2.0124,1.382,1.54,1.6304,1.3714,1.3312
"12",1.06,0.9996,1.0577,1.4881,1.2656,1.2852,1.5854,1.6242,1.2667,1.22,2.016,1.54
"13",0.9788,0.9424,1.018,0.9163,1.1705,1.2682,1.5705,1.5913,1.5855,1.57,1.4122,1.1348
"15",1.098,0.8932,1.0192,0.8825,1.3776,1.26,1.538,1.4129,1.419,1.2043,1.2568,1.1
"16",0.9796,1.0344,1.1,0.9955,1.5007,2.0159,1.69,1.369,2.0676,1.3368,1.3,1.0604
"18",1.0196,1.0021,1.0016,0.9729,1.4174,1.2658,1.5004,1.212,2.05,1.3226,1.0668,1.092
"19",2.09,1.1573,1.073,0.9824,1.3744,1.8796,1.7221,1.4196,1.341,1.7343,1.38,1.4596
"20",1.0032,1.0177,1.028,0.9758,1.456,1.4844,1.5824,1.2968,2.0376,1.2373,1.1522,1.0873
"21",1.398,1.2801,1.1768,1.3452,1.46,1.4432,1.4996,1.3968,1.8668,1.213,1.1671,1.1964
"22",1.1619,1.1396,1.1036,1.1337,1.4464,1.3196,1.5041,1.2228,2.0492,1.4246,1.1445,1.1416
"23",1.1401,1.4532,1.0328,0.8955,1.1602,1.42,1.8049,1.1251,2.05,2.2025,1.2264,1.4156
"24",1.7707,1.4113,1.0928,1.143,1.58,1.5452,1.5453,1.4947,1.6035,1.3244,1.308,1.4092
"25",1.1406,1.4357,1.0846,1.0226,1.3368,1.4428,1.5707,1.412,2.05,1.5065,1.1531,1.1709
"26",1.8199,1.832,1.1256,1.5867,1.38,1.5,1.3724,2.0104,3.5492,1.4296,1.3576,1.5625
"28",1.3917,1.1,0.8704,0.8382,1.26,1.4428,1.5,1.3,1.26,1.7008,1.14,1.1804
"29",1.09,1.0077,0.9061,0.8945,1.1481,1.2541,1.494,1.2988,1.2472,1.3616,1.089,1.1637
"30",1.2196,1.0181,1.0216,0.9361,1.0687,1.1862,1.4544,1.2156,1.2312,1.2538,1.2041,1.22
"32",1.0216,1.02,0.94,0.9395,0.94,1.1256,1.3426,1.1926,1.1723,1.2104,1.0992,1.1064
"33",1.416,1.0008,1.1,0.9776,1.1705,1.2518,1.8709,1.2084,1.9708,1.278,1.8469,1.54
"34",1.3896,1.0028,1.1553,1.036,1.2568,1.292,1.7615,1.293,1.4384,1.3058,1.346,1.46
"35",0.9639,0.94,0.9832,0.9654,1.3988,1.2596,1.5472,3.07,1.61,1.351,1.2232,1.1
"36",1.18,0.9896,1.1372,0.8692,1.0725,1.2617,1.5403,1.2204,1.5,1.265,1.26,1.1878
"38",1.0348,1.104,0.9694,0.9804,1.2036,1.5837,1.5992,1.3356,1.46,1.4516,1.0739,1.076
"39",1.062,1.1824,0.9448,0.9812,1.1681,2.628,1.6096,1.306,1.46,1.5941,1.0304,1.1066
"40",1.1796,1.102,1.0492,0.9808,1.4712,1.4652,1.5549,1.3398,1.4404,1.271,1.1045,1.1384
"7",1.1114,1.2757,1.2018,0.9514,1.2673,1.2636,1.5451,1.3912,1.42,1.4064,1.884,1.158
"8",1.1304,0.9788,1.1296,0.9512,1.2296,1.3734,1.6938,1.4785,1.4356,1.4593,1.373,1.1456
"9",0.9824,0.9984,1.0968,0.9604,1.4106,1.4616,1.6897,1.5497,2.0064,1.564,1.3414,1.1113
"10",1.1034,1.2756,1.1266,0.9348,1.1322,1.258,1.5506,1.4012,1.42,1.4042,1.8848,1.15
"37",1.0846,1.1008,0.98,0.98,1.2793,1.747,1.6042,1.342,1.464,1.4667,1.1087,1.108
