"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.98,2.1684,2.0896,2.05,1.149,1.2648,11.1032,1.22,1.1108,3.5007,3.3735,1.38
"4",0.87,0.8288,1.34,0.8691,1.1415,2.01,6.6297,2.6333,5.3693,1.42,1.2534,0.941
"5",2.1115,0.79,1.6885,0.9419,1.22,2.385,1.536,1.38,1.54,1.42,1.2918,1.3
"6",1.1216,0.914,1.0668,0.9078,1.1735,1.3628,1.6841,1.4665,1.3718,1.4341,1.364,1.1404
"11",1.9373,0.9686,2.2323,1.06,1.34,1.3004,2.1886,1.38,1.54,2.8418,1.2862,1.31
"12",1.06,0.9581,1.0234,2.0005,1.2272,1.2519,1.5021,1.6492,1.1101,1.2185,2.0848,1.603
"13",0.9544,0.937,1.0004,0.8625,1.1508,1.2569,1.5613,1.6017,1.5497,1.57,1.389,1.0972
"15",1.0972,0.8715,0.9996,0.8688,1.3964,1.2548,1.5148,1.3142,1.2821,1.1418,1.2064,1.1
"16",0.9098,0.9192,1.1,0.9119,2.348,3.0287,1.69,1.2688,2.0896,1.2676,1.3,0.9365
"18",0.9928,0.9847,0.9723,0.958,1.44,1.2114,1.5,1.1702,2.05,1.2306,1.0204,1.0576
"19",2.1204,1.141,1.06,0.9766,1.3592,1.97,1.73,1.42,1.26,2.4388,1.38,1.46
"20",0.98,0.9808,0.9904,0.9572,1.4596,1.4872,1.5181,1.2636,1.9612,1.1858,1.0857,1.0336
"21",1.4208,1.2589,1.086,1.3474,1.4638,1.4452,1.498,1.351,1.8314,1.1141,1.06,1.1052
"22",1.1629,1.1401,1.0669,1.1244,1.458,1.2988,1.5,1.2269,2.0192,1.3445,1.037,1.1092
"23",1.14,1.46,1.02,0.7662,1.15,1.42,1.85,0.98,2.05,3.2182,1.1419,1.42
"24",1.8909,1.4306,1.0616,1.0828,1.58,1.5738,1.4711,1.4856,1.4904,1.1721,1.1714,1.2589
"25",1.14,1.46,1.0266,0.954,1.3004,1.45,1.5291,1.4256,2.05,1.4012,1.0512,1.1238
"26",1.9688,1.93,1.0584,1.69,1.38,1.5,1.34,2.734,3.9024,1.42,1.2636,1.5697
"28",3.4201,1.1,0.8692,0.7112,1.26,1.46,1.5,1.3,1.2532,2.0722,1.1296,1.18
"29",1.0041,0.9804,0.87,0.8113,1.0896,1.2134,1.4772,1.2872,1.1863,1.223,1.0324,1.1128
"30",1.2184,0.9565,0.9389,0.8929,0.9442,1.1699,1.3674,1.1552,1.1536,1.1428,1.1536,1.22
"32",0.9429,1.02,0.9321,0.8935,0.934,1.0364,1.2404,1.0944,1.0926,1.1347,1.0132,1.023
"33",1.42,0.9492,1.1,0.942,1.0934,1.1924,2.3002,1.18,2.0024,1.2474,2.0792,2.108
"34",1.4032,0.9606,1.14,1.0248,1.2535,1.2936,1.9085,1.2666,1.3089,1.271,1.2654,1.46
"35",0.91,0.9352,0.98,0.9416,1.4576,1.2259,1.49,4.3217,1.61,1.2734,1.1376,1.0981
"36",1.18,0.9176,1.14,0.79,0.9424,1.2142,1.54,1.22,1.5,1.2308,1.26,1.1513
"38",0.9728,1.1351,0.94,0.98,1.126,2.3639,1.6051,1.3249,1.46,1.4474,0.9535,1.0244
"39",0.9938,1.19,0.9395,0.98,1.0922,2.9611,1.61,1.3,1.442,1.685,0.9136,1.0658
"40",1.1506,1.104,1.0176,0.951,1.524,1.565,1.5503,1.3225,1.3363,1.1805,1.0916,1.0902
"7",1.1016,1.298,1.0454,0.8724,1.1901,1.2191,1.4772,1.38,1.42,1.3848,1.89,1.14
"8",1.1216,0.914,1.0668,0.9078,1.1735,1.3628,1.6841,1.4665,1.3718,1.4341,1.364,1.1404
"9",0.9492,0.9328,1.0776,0.9144,1.4458,1.5074,1.6888,1.5522,2.012,1.57,1.3163,1.0552
"10",1.1004,1.298,1.008,0.8364,1.0807,1.1945,1.4832,1.3814,1.42,1.3828,1.89,1.14
"37",1.027,1.115,0.9408,0.9772,1.2614,2.2371,1.61,1.3372,1.4468,1.5367,1.0176,1.0842
