"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",1.26056773607854,1.50932760001863,1.65910871501604,1.40538025979728,1.38,1.3842996277109,1.74686778152098,1.48042753351064,1.64613913079272,1.77273379948915,2.0401493264,1.53574948823559
"4",1.126,1.14777784861191,1.3192,1.1438488257423,1.2184,1.89271097565677,2.08728044081953,1.9483763712,1.67882591991992,1.42003283404255,1.42,1.2944
"5",1.1808,1.2516,1.38,1.3,1.3048,1.38,1.51721546853599,1.4044,1.54,1.42,1.4032,1.3
"6",1.1,0.984102699999998,1.2328,0.9776,1.336,1.391014669979,1.71411427782731,1.56232445541739,1.7266807580245,1.42,1.40127096216989,1.3
"11",1.302,1.34,1.38,1.3796,1.38,1.38,1.59205103167258,1.4012,1.54,1.486,1.382,1.35541007322845
"12",1.1644,1.2194,1.2332,1.3,1.3,1.3,1.40186410920969,1.46,1.4812,1.3484,1.652,1.4576
"13",1.1,0.9391,1.0204,0.9164,1.22409188275862,1.35619205845171,1.68943955866357,1.57862663943383,1.8944,1.57,1.44575145423657,1.2216
"15",1.1036,1.02,1.0228,1.0184,1.298,1.2992,1.5713,1.496,1.5685,1.38616890094247,1.32160293445994,1.2824
"16",1.1393,1.3092,1.2884,1.3712,1.46,1.69,1.69,1.4919,2.0048,1.4484,1.34832565673883,1.2676
"18",1.15,1.0836,1.0236,0.98,1.3404,1.4612,1.68433751938003,1.46,2.05,1.4432,1.31067490348773,1.30615938187434
"19",1.94349174469567,1.3832,1.376,1.3488,1.386,1.5403,1.54,1.5344,1.5272,1.46,1.42,1.436
"20",1.1432,1.4612,1.1267164,0.9804,1.472,1.5,1.59,1.5,2.0228,1.4212,1.3,1.2176
"21",1.2568,1.4496,1.34,1.3772,1.46,1.46,1.5542,1.46,1.85357273092832,1.42,1.33372634127591,1.39900690249775
"22",1.1656,1.18,1.156,1.1584,1.3404,1.4588,1.68750754506725,1.46,2.0372,1.498986110299,1.30221460865982,1.34286631222504
"23",1.14004228706805,1.14058722418252,1.14,1.1136,1.1427348088,1.42,1.43441827709353,1.2644,2.0368,1.512,1.30052073061225,1.42
"24",1.4695823013908,1.51928210927813,1.37066274224125,1.57251742066085,1.5722308128,1.57431164233282,1.57745449297739,1.56042316728483,1.68271689290267,1.42,1.3412,1.42
"25",1.14,1.1285,1.02,0.9504,1.3216,1.4728,1.70596612391457,1.458,2.05,1.52851086692137,1.30095007968858,1.36364723983463
"26",1.4064,1.4572,1.38,1.38,1.38,1.5,1.5,1.5601,1.9928,1.5,1.5028,1.54
"28",1.2148,1.14,1.1392,1.14,1.2592,1.3,1.4002824,1.3,1.3432,1.40566381565656,1.2068,1.2168
"29",1.18,0.9335,0.9044,0.8844,0.988592264285715,1.1192004,1.41049,1.2664,1.4588,1.46,1.1098659,1.18
"30",1.18,1.02215896175114,0.9502,0.9391,1.12336368809524,1.18032813,1.4357296,1.2368,1.4652,1.4592,1.22,1.22
"32",1.18,0.94,0.942,0.94,0.946668975,1.0848,1.25057331076994,1.19401486819273,1.4836,1.36311037156951,1.14901743761905,1.18
"33",1.18,1.1376,1.1488,1.1616,1.2196,1.3156,1.4616,1.3196,1.66138002250904,1.4696,1.6375,1.4712
"34",1.1616,0.975735757692308,1.124,1.0492,1.2684,1.2736,1.6473,1.3876,1.5466,1.4504,1.4324,1.41147753043478
"35",1.1244,1.1184,1.254,1.3012,1.38,1.3378080915873,1.43040815555556,1.5495,1.5403,1.34,1.26,1.18
"36",1.18,1.1524,1.1576,1.14,1.17806933333333,1.22,1.3016626627832,1.2232,1.46,1.26182941120355,1.26,1.26
"38",1.1064,1.0564,0.978,0.9393,1.2792,1.3008,1.5479,1.3836,1.5698,1.46,1.26,1.18
"39",1.134,1.1308,1.1,1.1,1.18664202222222,1.3456,1.35449565333333,1.3172,1.4704,1.4299357,1.26,1.18
"40",1.1788,1.0724,1.06,1.0092,1.2656,1.2784,1.5396,1.328,1.6076,1.38390029052503,1.13051732103175,1.18
"7",1.2334493372735,1.37898356363636,1.41598272781464,1.38,1.38,1.38,1.70072977150126,1.44144845714286,1.57081869733978,1.66031309637067,1.75053763120974,1.3938809813907
"8",1.1,1.03485565,1.2240182,1.0628,1.3080076,1.39385872145047,1.72086771874486,1.56218879232936,1.73146175249386,1.42,1.42227654845209,1.3
"9",1.12163582,1.2601,1.2788,1.2776,1.39688205809524,1.4939176,1.6824,1.5079582,1.87561656694963,1.48391646295339,1.3948,1.2732
"10",1.1404,1.23854946666667,1.29972846666667,1.2296,1.26117837511334,1.32791992992736,1.46231114956341,1.38129936212121,1.539216,1.42,1.42317856773843,1.3
"37",1.1308,1.1237,1.1,1.1,1.2411,1.34,1.39769290323231,1.34,1.498,1.38528686444444,1.26,1.18
