"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.91,2.1601410672,2.074773152,2.05,1.14,1.26,11.660044922,1.14,1.02,3.803501424,3.422561992,1.3639227824
"4",0.79,0.67,1.34,0.67,1.14,1.9970257264,6.73,2.623493496,6.73,1.42,1.1763061704,0.87
"5",2.387856576,0.79,1.6736661056,0.91,1.22,2.8817797152,1.3,1.38,1.54,1.42,1.26,1.3
"6",0.8722,0.9563642,0.8323,0.6743,0.7218872,0.8279472,1.3992976104,0.696936,0.98,1.38,0.5453,1.14
"11",2.01,0.8,2.3119338176,1.06,1.34,1.3,2.2243054752,1.38,1.54,3.5635043968,1.106300892,1.3
"12",1.06,0.83,1.02,2.01,1.22,1.14,1.38,1.65,1.02,1.06,2.09,1.65
"13",0.94,0.9851956,0.867977,0.7115844,0.5150444,0.85528,0.8148,0.8183,0.87,1.57,0.91,0.91
"15",0.8707,0.9356848,0.8608078,0.7073906,0.8733,0.8317,1.02,0.8696,0.79,1.02,0.4883,1.1
"16",0.79,0.6,1.1,0.91,2.64,3.0395413984,1.69,1.26,2.09,1.26,1.3,0.87
"18",0.91,0.9392482,0.8636,0.7748,0.9804,0.7947,0.8133098,0.7016,2.05,0.6407494,1.02,0.91
"19",2.13,1.14,1.06,0.92,1.3,1.97,1.73,1.42,1.26,2.5673071584,1.38,1.46
"20",0.98,1.0281024,0.8462206,0.59909,0.9616,0.8503668,1.5,0.8193,0.87,0.98,0.6092,0.5486
"21",0.8352,0.9768908,0.8204,0.549,1.46,0.7761,0.703,0.7566098,0.91,0.79,0.87,1.06
"22",0.98,0.8608696,0.8665,0.7513,1.18,0.8100028,0.791,0.8244556,1.85,1.02,0.83,0.87
"23",1.14,1.46,1.02,0.71,1.1,1.42,1.85,0.79,2.05,3.2187053024,1.02,1.42
"24",0.73,0.9620062,0.8978472,0.7875198,1.5795255856,0.8069108,0.7075312,0.5848856,0.94,1.06,0.4874,1.02
"25",0.98,0.9930362,0.7777,0.7040464,0.8756,0.8294,0.8355,0.8476024,2.05,0.83,0.6485474,0.5636048
"26",1.97,1.93,0.94,1.69,1.38,1.5,1.26,2.8,3.98,1.42,0.91,1.57
"28",3.98,1.1,0.79,0.71,1.26,1.46,1.5,1.3,1.22,2.09,1.1,1.18
"29",0.6375,0.9932378,0.8402752,0.6137954,0.526793,0.5820976,0.7948,0.5361398,0.91,0.83,0.91,0.71
"30",0.7078,0.956687,0.7682,0.7217504,0.4094938,0.8260952,0.8205,0.6817856,0.94,1.14,0.71,1.22
"32",3.94,0.55,2.92289263730237,1.02,0.71,0.5438,0.94,0.4841,0.94,0.2946682,0.94,0.6225
"33",1.42,0.94,1.1,0.94,0.94,1.14,2.36,1.1,2.01,1.14,2.09,3.19
"34",0.6531,0.9118596,0.8743978,0.7854026,0.8089,0.812246,0.6491296,0.7686,1.26,1.22,0.2448984,1.46
"35",0.83,0.83,0.98,0.94,1.46,1.1,1.34,4.6441377168,1.61,1.26,0.94,1.06
"36",1.18,0.71,1.14,0.71,0.87,1.19,1.54,0.93,1.5,1.22,1.26,1.06
"38",0.7044,0.9563988,0.8557676,0.7192,0.5246152,0.7905836,0.6913548,0.4201786,1.46,0.5612,0.344536,0.71
"39",0.94,1.19,0.87,0.98,1.08,3.15,1.61,1.3,1.34,1.69,0.91,1.02
"40",0.7054,0.949596,0.741674,0.6899876,0.6824942,0.7384,0.5546812,0.6674,1.06,1.1,0.2824016,0.7112
"7",0.9786,2.06712379145701,2.06423064590105,1.38,1.1904,1.26,11.5707149501337,1.22,1.1,1.82993866045436,2.05937548055377,1.3
"8",1.0128,0.9362,1.1038086,0.9197242,0.94,1.1984612,2.79544768335977,1.4175184,0.98,1.38,0.6366,1.14
"9",0.94,0.833,1.0984,0.9378798,1.564,3.02296477482189,1.69,1.4331,2.09,1.57,1.3,0.88
"10",1.76622934414299,0.79,1.66921387668403,0.91,1.22,1.26,1.5392,1.38,1.4056,1.42,1.582,1.2976
"37",0.94,1.19,0.87,0.98,1.38,2.64,1.61,1.585,1.3412,1.69,0.91,1.02
