"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.91,2.1601410368,2.074773072,2.05,1.14,1.26,11.6600443448,1.14,1.02,3.8035014064,3.42256184,1.3639227104
"4",0.79,0.67,1.34,0.67,1.14,1.9970256944,6.73,2.6234934608,6.73,1.42,1.1763061664,0.87
"5",2.3878565484,0.79,1.6736660496,0.91,1.22,2.88177976,1.3,1.38,1.54,1.42,1.26,1.3
"6",0.8722,0.9764092,0.8327,0.6737,0.7220812,0.8194,1.3992992936,0.6932536,0.98,1.38,0.5451,1.14
"11",2.01,0.8,2.311933808,1.06,1.34,1.3,2.2243054704,1.38,1.54,3.5635044144,1.1063008932,1.3
"12",1.06,0.83,1.02,2.01,1.22,1.14,1.38,1.65,1.02,1.06,2.09,1.65
"13",0.94,1.0007,0.867977,0.7112902,0.5166444,0.8556832,0.8018,0.8187056,0.87,1.57,0.91,0.91
"15",0.8707,0.943884,0.860843,0.7078948,0.8729,0.8263944,1.02,0.8696,0.79,1.02,0.4887,1.1
"16",0.79,0.6,1.1,0.91,2.64,3.0395413344,1.69,1.26,2.09,1.26,1.3,0.87
"18",0.91,0.9506404,0.8644,0.7737,0.9804,0.7941,0.8107776,0.7018,2.05,0.6407494,1.02,0.91
"19",2.13,1.14,1.06,0.92,1.3,1.97,1.73,1.42,1.26,2.5673071264,1.38,1.46
"20",0.98,1.0767384,0.8463,0.6006934,0.9616,0.836864,1.5,0.8189,0.87,0.98,0.6090396,0.5484
"21",0.8352,0.9806384,0.822,0.5482868,1.46,0.7756,0.6926,0.7523106,0.91,0.79,0.87,1.06
"22",0.98,0.8806,0.8688,0.7463378,1.18,0.8103964,0.7919,0.8251064,1.85,1.02,0.83,0.87
"23",1.14,1.46,1.02,0.71,1.1,1.42,1.85,0.79,2.05,3.2187053408,1.02,1.42
"24",0.73,0.9547,0.8982648,0.7882198,1.5795254976,0.8077108,0.7099436,0.585768,0.94,1.06,0.4869,1.02
"25",0.98,1.0028866,0.7793,0.703902,0.8756,0.8303,0.8296,0.8470084,2.05,0.83,0.6485474,0.5640048
"26",1.97,1.93,0.94,1.69,1.38,1.5,1.26,2.8,3.98,1.42,0.91,1.57
"28",3.98,1.1,0.79,0.71,1.26,1.46,1.5,1.3,1.22,2.09,1.1,1.18
"29",0.6377,1.0209244,0.8402776,0.6144954,0.527793,0.590660533333333,0.8076096,0.5433,0.91,0.83,0.91,0.71
"30",0.7076,0.9840522,0.7682,0.721768,0.4098076,0.8248792,0.8207546,0.6811492,0.94,1.14,0.71,1.22
"32",3.94,0.55,2.92284227995752,1.02,0.71,0.5441,0.94,0.4837,0.94,0.294993,0.94,0.6225
"33",1.42,0.94,1.1,0.94,0.94,1.14,2.36,1.1,2.01,1.14,2.09,3.19
"34",0.6531,0.9158772,0.8735978,0.7860596,0.8089,0.812252,0.64192,0.7702,1.26,1.22,0.2456984,1.46
"35",0.83,0.83,0.98,0.94,1.46,1.1,1.34,4.6441372328,1.61,1.26,0.94,1.06
"36",1.18,0.71,1.14,0.71,0.87,1.19,1.54,0.93,1.5,1.22,1.26,1.06
"38",0.7044,0.9589,0.8557622,0.7196,0.5254196,0.7913836,0.6937684,0.4241756,1.46,0.5612,0.344936,0.71
"39",0.94,1.19,0.87,0.98,1.08,3.15,1.61,1.3,1.34,1.69,0.91,1.02
"40",0.7054,0.96479,0.7393292,0.690588,0.6820942,0.7387,0.5428622,0.67,1.06,1.1,0.282408,0.7112
"7",0.9786,2.05879180152855,2.06419048198463,1.38,1.192,1.26,11.5711138510454,1.22,1.1,1.82992851727837,2.05937113926941,1.3
"8",1.0096,0.9363,1.102361,0.9205088,0.94,1.198196,2.7981584505631,1.41453332,0.98,1.38,0.6378,1.14
"9",0.94,0.8336,1.098,0.9379,1.5589,3.02310244772279,1.69,1.4297496,2.09,1.57,1.3,0.8792
"10",1.7749146065391,0.79,1.6692017756418,0.91,1.22,1.26,1.5391816,1.38,1.4072,1.42,1.582,1.2976
"37",0.94,1.19,0.87,0.98,1.3744,2.64,1.61,1.5677,1.3424,1.69,0.91,1.02
